epoch,loss,val_loss
0,0.6702896941985402,0.6627901196479797
1,0.6282346227339336,0.6785076516015189
2,0.6218176473464284,0.655814528465271
3,0.617533242063863,0.6599625221320561
4,0.6155982645494598,0.6567483927522387
5,0.613413117825985,0.6566980183124542
6,0.6124881676265171,0.6592523157596588
7,0.6123779671532767,0.6515498799937112
8,0.6105970250708717,0.659554945571082
9,0.6098777343119893,0.6516752455915723
10,0.6082946466548103,0.6575260162353516
11,0.6079310444848878,0.64720789875303
12,0.607059365936688,0.6591330894402095
13,0.606838980955737,0.6431881146771568
14,0.6067071333527565,0.6540273427963257
15,0.6051027647086552,0.6475959164755685
16,0.603360863668578,0.6447291587080274
17,0.6025508993438312,0.6588603683880397
18,0.6024973105107035,0.6418044992855617
19,0.6013155356049538,0.6370883456298283
20,0.5998231811182839,0.6502798114504132
21,0.5999151170253754,0.6417601747172219
22,0.6020651236176491,0.6304806598595211
23,0.5990207024982998,0.6417299381324223
24,0.597589761018753,0.6317143099648612
25,0.5996576877576965,0.6425771287509373
26,0.597018692110266,0.6421809792518616
27,0.5969170204230717,0.62620290688106
28,0.5969769497002874,0.633721683706556
29,0.5947347389800208,0.63327613898686
30,0.59437203087977,0.6424083880015782
31,0.5939981501017298,0.6400378857340131
32,0.5941256572093282,0.6204798647335598
33,0.595554459307875,0.6289517453738621
34,0.5927031774606023,0.6452035691056933
35,0.5931836132492337,0.6475643174988883
36,0.5938004766191755,0.6479982478278024
37,0.5944596752524376,0.6191033039774213
38,0.5925409847072193,0.6356009755815778
39,0.590698418872697,0.6263034812041691
40,0.5904405947242465,0.6444091158253806
41,0.5919254368969372,0.6359867581299373
42,0.5907948687672615,0.6202804829393115
